frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=1 Win=3411 Len=0 TSval=805401 TSecr=805401
2;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=1 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
3;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=8193 Win=3637 Len=0 TSval=805401 TSecr=805401
4;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=8193 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
5;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=16385 Win=3637 Len=0 TSval=805401 TSecr=805401
6;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=16385 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
7;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=24577 Win=3637 Len=0 TSval=805401 TSecr=805401
8;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=24577 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
9;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=32769 Win=3637 Len=0 TSval=805401 TSecr=805401
10;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=32769 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
11;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=40961 Win=3637 Len=0 TSval=805401 TSecr=805401
12;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=40961 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
13;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=49153 Win=3637 Len=0 TSval=805401 TSecr=805401
14;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=49153 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
15;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=57345 Win=3637 Len=0 TSval=805401 TSecr=805401
16;;127.0.0.1;;127.0.0.1;TCP;8080 → 45650 [PSH, ACK] Seq=57345 Ack=1 Win=350 Len=8192 TSval=805401 TSecr=805401
17;;127.0.0.1;;127.0.0.1;TCP;45650 → 8080 [ACK] Seq=1 Ack=65537 Win=3637 Len=0 TSval=805401 TSecr=805401
