frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xeaf6 A s2.googleusercontent.com
2;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
3;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xfd1d A s2.googleusercontent.com
4;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
5;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x8969 A s2.googleusercontent.com
6;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
7;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x8969 A s2.googleusercontent.com
8;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
9;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x9746 A s2.googleusercontent.com
10;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
11;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x9746 A s2.googleusercontent.com
12;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
13;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x590c A www.google.com
14;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
15;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xc5fa A www.google.com
16;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
17;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x56a0 A s2.googleusercontent.com
18;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
19;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4826 A www.google.com
20;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x13dc A s2.googleusercontent.com
21;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
22;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
