frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x5ff7 A www.google.com
2;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
3;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1620 A www.google.com
4;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
5;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf580 A www.google.com
6;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
7;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf580 A www.google.com
8;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
9;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xd3db A www.google.com
10;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
11;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xd3db A www.google.com
12;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
13;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x947c A www.google.com
14;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
15;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x2978 A www.google.com
16;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
17;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1781 A www.google.com
18;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
19;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1781 A www.google.com
20;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
21;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4975 A www.google.com
22;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
23;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4975 A www.google.com
24;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
25;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xb7b0 A www.google.com
