frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
552;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=813825 TSecr=813825
553;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
554;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=813825 TSecr=813825
555;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
556;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=813825 TSecr=813825
557;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
558;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=813825 TSecr=813825
559;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
560;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=813825 TSecr=813825
561;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
562;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=24764 Win=436608 Len=0 TSval=813825 TSecr=813825
563;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
564;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=32956 Win=465536 Len=0 TSval=813825 TSecr=813825
565;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/csv)
566;;127.0.0.1;;127.0.0.1;TCP;45696 → 8080 [ACK] Seq=198 Ack=38027 Win=465536 Len=0 TSval=813825 TSecr=813825
