frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
384;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
385;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xdf47 A ntp.ubuntu.com
386;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
387;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x6dbf AAAA ntp.ubuntu.com
388;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
389;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xdf47 A ntp.ubuntu.com
390;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
391;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x6dbf AAAA ntp.ubuntu.com
392;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
393;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x2fc3 A ntp.ubuntu.com
394;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
395;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x49ca AAAA ntp.ubuntu.com
396;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
397;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x2fc3 A ntp.ubuntu.com
398;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
399;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x49ca AAAA ntp.ubuntu.com
400;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
401;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4340 A ntp.ubuntu.com
402;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
403;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x91b8 AAAA ntp.ubuntu.com
404;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
405;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4340 A ntp.ubuntu.com
406;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
