frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;5.148.165.181;TCP;45018 → 443 [ACK] Seq=1 Ack=1 Win=500 Len=0 TSval=437088 TSecr=2832942368
2;48:5d:36:a6:84:89;5.148.165.181;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 45018 [ACK] Seq=1 Ack=2 Win=260 Len=0 TSval=2832953663 TSecr=425830
3;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;151.101.32.223;TCP;35222 → 443 [ACK] Seq=1 Ack=1 Win=1790 Len=0 TSval=437152 TSecr=2369696383
4;48:5d:36:a6:84:89;151.101.32.223;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 35222 [ACK] Seq=1 Ack=2 Win=69 Len=0 TSval=2369707648 TSecr=414636
5;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;192.229.163.25;TCP;49344 → 443 [ACK] Seq=1 Ack=1 Win=387 Len=0 TSval=437280 TSecr=1019845912
6;48:5d:36:a6:84:89;192.229.163.25;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 49344 [ACK] Seq=1 Ack=2 Win=290 Len=0 TSval=1019857177 TSecr=414752
7;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;216.58.217.168;TCP;48516 → 443 [ACK] Seq=1 Ack=1 Win=245 Len=0 TSval=437408 TSecr=2078502092
8;48:5d:36:a6:84:89;216.58.217.168;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 48516 [ACK] Seq=1 Ack=2 Win=382 Len=0 TSval=2078547153 TSecr=414861
9;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;199.16.156.120;TCP;36222 → 443 [ACK] Seq=1 Ack=1 Win=364 Len=0 TSval=437504 TSecr=1469649113
10;48:5d:36:a6:84:89;199.16.156.120;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 36222 [ACK] Seq=1 Ack=2 Win=173 Len=0 TSval=1469694236 TSecr=414966
11;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;216.58.217.142;TCP;56030 → 443 [ACK] Seq=1 Ack=1 Win=1780 Len=0 TSval=437600 TSecr=2078325457
12;48:5d:36:a6:84:89;216.58.217.142;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 56030 [ACK] Seq=1 Ack=2 Win=451 Len=0 TSval=2078370574 TSecr=415048
13;28:c2:dd:35:4d:32;192.168.1.162;48:5d:36:a6:84:89;172.217.7.238;TCP;58142 → 443 [ACK] Seq=1 Ack=1 Win=297 Len=0 TSval=437728 TSecr=2092364645
14;48:5d:36:a6:84:89;172.217.7.238;28:c2:dd:35:4d:32;192.168.1.162;TCP;[TCP ACKed unseen segment] 443 → 58142 [ACK] Seq=1 Ack=2 Win=400 Len=0 TSval=2092409701 TSecr=415176
