frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=776680 TSecr=0 WS=128
2;;127.0.0.1;;127.0.0.1;TCP;8000 → 48400 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=776680 TSecr=776680 WS=128
3;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=776680 TSecr=776680
4;;127.0.0.1;;127.0.0.1;HTTP;GET / HTTP/1.1 
5;;127.0.0.1;;127.0.0.1;TCP;8000 → 48400 [ACK] Seq=1 Ack=456 Win=44800 Len=0 TSval=776680 TSecr=776680
6;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
7;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=18 Win=43776 Len=0 TSval=776680 TSecr=776680
8;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
9;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=56 Win=43776 Len=0 TSval=776680 TSecr=776680
10;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
11;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=93 Win=43776 Len=0 TSval=776680 TSecr=776680
12;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
13;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=118 Win=43776 Len=0 TSval=776680 TSecr=776680
14;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
15;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=140 Win=43776 Len=0 TSval=776680 TSecr=776680
16;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
17;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=186 Win=43776 Len=0 TSval=776680 TSecr=776680
18;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
19;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=188 Win=43776 Len=0 TSval=776680 TSecr=776680
20;;127.0.0.1;;127.0.0.1;HTTP;HTTP/1.0 200 OK  (text/html)
21;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [ACK] Seq=456 Ack=4960 Win=174720 Len=0 TSval=776680 TSecr=776680
22;;127.0.0.1;;127.0.0.1;TCP;8000 → 48400 [FIN, ACK] Seq=4960 Ack=456 Win=44800 Len=0 TSval=776680 TSecr=776680
23;;127.0.0.1;;127.0.0.1;TCP;48400 → 8000 [FIN, ACK] Seq=456 Ack=4961 Win=174720 Len=0 TSval=776680 TSecr=776680
24;;127.0.0.1;;127.0.0.1;TCP;8000 → 48400 [ACK] Seq=4961 Ack=457 Win=44800 Len=0 TSval=776680 TSecr=776680
25;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xe0d3 A www.google.com
26;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
27;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf802 A www.google.com
28;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
29;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xeff0 A www.google.com
30;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
31;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xeff0 A www.google.com
32;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
33;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x0d15 A www.google.com
34;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
35;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x0d15 A www.google.com
36;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
37;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x798f A www.google.com
38;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
39;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x7c88 A www.google.com
40;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
41;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x9e60 A www.google.com
42;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
43;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x9e60 A www.google.com
44;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
45;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x7b39 A www.google.com
46;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
47;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x7b39 A www.google.com
48;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
49;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1d46 A www.google.com
50;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
51;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xee73 A www.google.com
52;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
53;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xdb82 A www.google.com
54;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
55;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xdb82 A www.google.com
56;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
57;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x8563 A www.google.com
58;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
59;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x8563 A www.google.com
60;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
61;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1458 A s2.googleusercontent.com
62;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
63;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xcb45 A s2.googleusercontent.com
64;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
65;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf89d A s2.googleusercontent.com
66;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
67;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf89d A s2.googleusercontent.com
68;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
69;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x276b A s2.googleusercontent.com
70;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
71;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x276b A s2.googleusercontent.com
72;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
73;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xaa84 A s2.googleusercontent.com
74;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
75;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xdd0f A s2.googleusercontent.com
76;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
77;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x896a A s2.googleusercontent.com
78;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
79;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x896a A s2.googleusercontent.com
80;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
81;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xe325 A s2.googleusercontent.com
82;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
83;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xe325 A s2.googleusercontent.com
84;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
85;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x7d7f A www.google.com
86;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
87;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4a8b A www.google.com
88;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
89;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x02c9 A www.google.com
90;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
91;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x02c9 A www.google.com
92;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
93;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x25c2 A www.google.com
94;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
95;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x25c2 A www.google.com
96;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
97;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x94f6 A www.google.com
98;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
99;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x5226 A www.google.com
100;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
101;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4bc5 A www.google.com
102;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
103;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x4bc5 A www.google.com
104;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
105;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x879a A www.google.com
106;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
107;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x879a A www.google.com
108;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
109;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x43ed A www.google.com
110;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
111;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xd90a A www.google.com
112;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
113;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1197 A www.google.com
114;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
115;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x1197 A www.google.com
116;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
117;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x3f78 A www.google.com
118;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
119;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x3f78 A www.google.com
120;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
121;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xe278 A www.google.com
122;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
123;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x2d97 A www.google.com
124;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
125;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x19c2 A www.google.com
126;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
127;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x19c2 A www.google.com
128;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
129;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf627 A www.google.com
130;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
131;;127.0.0.1;;127.0.0.1;DNS;Standard query 0xf627 A www.google.com
132;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
133;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x5265 A www.google.com
134;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
135;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x0f70 A www.google.com
136;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
137;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x712c A www.google.com
138;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
139;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x712c A www.google.com
140;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
141;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x8a56 A www.google.com
142;;127.0.0.1,127.0.0.1;;127.0.0.1,127.0.0.1;ICMP;Destination unreachable (Port unreachable)
143;;127.0.0.1;;127.0.0.1;DNS;Standard query 0x8a56 A www.google.com
