frame.number;eth.src;ip.src;eth.dst;ip.dst;_ws.col.Protocol;_ws.col.Info
1;;127.0.0.1;;127.0.0.1;TCP;45710 → 8080 [ACK] Seq=1 Ack=1 Win=3637 Len=0 TSval=814058 TSecr=814058
2;;127.0.0.1;;127.0.0.1;TCP;8080 → 45710 [PSH, ACK] Seq=1 Ack=1 Win=350 Len=4234 TSval=814058 TSecr=814058
3;;127.0.0.1;;127.0.0.1;TCP;45710 → 8080 [ACK] Seq=1 Ack=4235 Win=3637 Len=0 TSval=814058 TSecr=814058
4;;127.0.0.1;;127.0.0.1;TCP;8080 → 45710 [FIN, ACK] Seq=4235 Ack=1 Win=350 Len=0 TSval=814058 TSecr=814058
5;;127.0.0.1;;127.0.0.1;TCP;45710 → 8080 [FIN, ACK] Seq=1 Ack=4236 Win=3637 Len=0 TSval=814059 TSecr=814058
6;;127.0.0.1;;127.0.0.1;TCP;8080 → 45710 [ACK] Seq=4236 Ack=2 Win=350 Len=0 TSval=814059 TSecr=814059
7;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [SYN] Seq=0 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=814087 TSecr=0 WS=128
8;;127.0.0.1;;127.0.0.1;TCP;8080 → 45712 [SYN, ACK] Seq=0 Ack=1 Win=43690 Len=0 MSS=65495 SACK_PERM=1 TSval=814087 TSecr=814087 WS=128
9;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=1 Ack=1 Win=43776 Len=0 TSval=814087 TSecr=814087
10;;127.0.0.1;;127.0.0.1;HTTP;GET /capture_00002_20170304180056.csv HTTP/1.1 
11;;127.0.0.1;;127.0.0.1;TCP;8080 → 45712 [ACK] Seq=1 Ack=198 Win=44800 Len=0 TSval=814087 TSecr=814087
12;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
13;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=18 Win=43776 Len=0 TSval=814088 TSecr=814088
14;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
15;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=56 Win=43776 Len=0 TSval=814088 TSecr=814088
16;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
17;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=93 Win=43776 Len=0 TSval=814088 TSecr=814088
18;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
19;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=117 Win=43776 Len=0 TSval=814088 TSecr=814088
20;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
21;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=140 Win=43776 Len=0 TSval=814088 TSecr=814088
22;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
23;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=186 Win=43776 Len=0 TSval=814088 TSecr=814088
24;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
25;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=188 Win=43776 Len=0 TSval=814088 TSecr=814088
26;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
27;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=8380 Win=174720 Len=0 TSval=814088 TSecr=814088
28;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
29;;127.0.0.1;;127.0.0.1;TCP;45712 → 8080 [ACK] Seq=198 Ack=16572 Win=305664 Len=0 TSval=814088 TSecr=814088
30;;127.0.0.1;;127.0.0.1;TCP;[TCP segment of a reassembled PDU]
